episode,step,value_estimate,optimum_action,reward,avg_waiting_time,total_stopped,co2_emissions,actual_action
1,10,-0.8615862727165222,1,-0.27,3.6097560975609757,14,0,0
1,20,-1.1169923543930054,0,0.15,1.8392857142857142,18,0,0
1,30,-2.162163257598877,0,0.28,1.2272727272727273,14,0,1
1,40,-1.886234998703003,1,-0.29,0.8088235294117647,19,0,0
1,50,-1.4655219316482544,0,-0.09,1.2941176470588236,15,0,0
1,60,-1.5631728172302246,0,-0.36,1.34375,19,0,1
1,70,-1.5765671730041504,0,-0.36,1.5076923076923077,21,0,0
1,80,-1.4920865297317505,0,-0.55,1.4029850746268657,20,0,1
1,90,-2.0616531372070312,0,1.09,0.5757575757575758,14,0,0
1,100,-1.8685389757156372,0,1.25,0.6617647058823529,11,0,0
1,110,-1.9806572198867798,0,-0.1,0.6428571428571429,17,0,0
1,120,-1.780747413635254,0,-0.69,7.333333333333333,32,0,1
1,130,-1.9149525165557861,1,-0.53,1.234375,15,0,0
1,140,-2.0743658542633057,0,0.28,1.1846153846153846,19,0,1
1,150,-1.4871615171432495,1,-0.47,4.484848484848484,28,0,0
1,160,-1.9749897718429565,0,-1.9,19.050847457627118,38,0,1
1,170,-2.1216187477111816,0,-0.28,1.4153846153846155,19,0,1
1,180,-1.6378673315048218,1,0.04,0.7142857142857143,15,0,0
1,190,-1.8052898645401,0,0.39,3.873015873015873,27,0,1
1,200,-1.6244107484817505,0,0.66,1.462686567164179,16,0,1
1,210,-1.4394581317901611,1,0.66,0.6376811594202898,16,0,1
1,220,-1.0683555603027344,1,0.31,0.5846153846153846,13,0,0
1,230,-1.4295576810836792,0,-0.3,3.78125,30,0,0
1,240,-1.3951404094696045,0,0.03,1.3043478260869565,17,0,1
1,250,-1.859864592552185,1,-0.65,1.7301587301587302,15,0,1
1,260,-1.8547800779342651,0,1.26,0.6231884057971014,14,0,0
1,270,-1.6490211486816406,0,-0.27,1.1692307692307693,19,0,0
1,280,-2.01633882522583,1,-0.41,2.550724637681159,25,0,0
1,290,-2.006786584854126,1,0.22,0.7571428571428571,18,0,0
1,300,-1.6743446588516235,1,-0.44,4.323529411764706,28,0,0
1,310,-1.8029814958572388,0,-0.78,2.8208955223880596,27,0,1
