episode,step,value_estimate,optimum_action,reward,avg_waiting_time,total_stopped,co2_emissions,actual_action
1,10,0.13887484,1,[0.],0.0,0,0,[0]
1,20,0.13006842,1,[0.05],0.0,0,0,[1]
1,30,0.13738947,1,[-0.02],0.4,2,0,[1]
1,40,0.13835277,1,[-0.07],1.4,2,0,[0]
1,50,0.16041584,1,[-0.05],2.8333333333333335,1,0,[0]
1,60,0.13738947,1,[-0.1],3.0,2,0,[1]
1,70,0.13006842,1,[0.04],0.0,0,0,[1]
1,80,0.14168307,1,[0.04],0.0,0,0,[0]
1,90,0.14256965,1,[0.15],0.0,0,0,[0]
1,100,0.14322576,1,[0.17],0.0,0,0,[0]
1,110,0.12732705,1,[-0.09],1.5,2,0,[1]
1,120,0.1333981,1,[0.21],0.0,0,0,[0]
1,130,0.15877786,0,[0.],0.0,0,0,[0]
1,140,0.15380545,0,[0.13],0.0,0,0,[0]
1,150,0.18089023,0,[0.],0.0,0,0,[0]
1,160,0.20187041,0,[0.],0.0,0,0,[1]
1,170,0.21986958,0,[-0.05],1.0,1,0,[0]
1,180,0.1539486,1,[0.03],0.0,0,0,[0]
1,190,0.17824925,1,[0.04],0.0,0,0,[0]
1,200,0.1463607,0,[0.05],0.0,0,0,[1]
1,210,0.122297086,0,[-0.27],2.2222222222222223,11,0,[1]
1,220,0.14751986,1,[-0.57],2.5588235294117645,14,0,[0]
1,230,0.13360809,1,[-0.2],0.6111111111111112,7,0,[1]
1,240,0.18596804,0,[0.11],1.2307692307692308,11,0,[0]
1,250,0.13752334,1,[-0.58],2.0256410256410255,13,0,[0]
1,260,0.10988978,1,[0.44],0.5714285714285714,7,0,[1]
1,270,0.1710292,1,[-0.51],2.0789473684210527,13,0,[0]
1,280,0.1578429,1,[-1.19],7.225,27,0,[0]
1,290,0.14894141,1,[0.3],2.6153846153846154,17,0,[1]
1,300,0.12305395,1,[-0.73],2.261904761904762,15,0,[0]
1,310,0.12491718,1,[-1.45],9.681818181818182,32,0,[0]
1,320,0.15536046,0,[0.86],0.14285714285714285,5,0,[1]
1,330,0.17539102,1,[-0.25],0.7567567567567568,9,0,[1]
1,340,0.18052182,1,[0.14],0.9117647058823529,8,0,[0]
1,350,0.222534,1,[0.34],0.5,5,0,[1]
1,360,0.23930769,1,[1.07],0.48717948717948717,7,0,[1]
1,370,0.23234275,1,[0.29],7.093023255813954,22,0,[0]
1,380,0.26190192,1,[0.88],0.1891891891891892,5,0,[0]
1,390,0.09382708,1,[0.],0.15,4,0,[0]
1,400,0.10127491,1,[0.21],0.05,2,0,[0]
1,410,0.36733046,1,[0.63],1.7857142857142858,18,0,[1]
1,420,0.077344105,1,[0.03],0.15151515151515152,4,0,[0]
1,430,0.42228633,1,[-0.51],5.069767441860465,24,0,[1]
1,440,0.12648103,1,[-0.14],0.5405405405405406,7,0,[1]
1,450,0.50854236,1,[1.26],0.05,1,0,[1]
1,460,0.021245714,1,[0.08],0.18181818181818182,3,0,[0]
1,470,0.362537,1,[0.05],0.5,4,0,[1]
1,480,0.39464527,1,[0.11],1.4545454545454546,7,0,[0]
1,490,0.11746627,0,[-0.17],0.68,5,0,[0]
1,500,-0.071467124,1,[-0.77],9.5,17,0,[0]
1,510,0.07253115,1,[0.03],0.5652173913043478,4,0,[0]
1,520,0.17161071,0,[-0.05],0.35714285714285715,2,0,[0]
1,530,0.28576258,0,[0.14],0.0,0,0,[0]
1,540,0.31136134,0,[-0.15],6.2,3,0,[1]
1,550,0.23841766,0,[0.07],0.0,0,0,[0]
1,560,0.17864908,1,[0.],0.0,0,0,[1]
1,570,0.24683754,0,[-0.03],0.5,2,0,[1]
1,580,0.13892786,1,[-0.01],0.14285714285714285,1,0,[1]
1,590,0.12259739,1,[0.],0.0,0,0,[0]
1,600,0.25711864,0,[-0.1],3.2,2,0,[1]
1,610,0.33124202,1,[0.05],0.0,0,0,[1]
