episode,step,value_estimate,optimum_action,reward,avg_waiting_time,total_stopped,co2_emissions,actual_action
1,10,0.11879295855760574,1,0.22,0.5,2,0,1
1,20,0.11805465072393417,1,-0.12,1.3333333333333333,4,0,1
1,30,0.11966980248689651,1,0.09,0.47368421052631576,2,0,1
1,40,0.11805465072393417,1,-0.13,1.2380952380952381,4,0,1
1,50,0.13387182354927063,1,0.18,0.0,0,0,0
1,60,0.130374476313591,1,0.08,0.05555555555555555,1,0,1
1,70,0.11849433183670044,1,0.04,0.14285714285714285,2,0,0
1,80,0.11609894037246704,1,0.44,0.08695652173913043,1,0,0
1,90,0.12479633092880249,1,0.02,0.21428571428571427,3,0,0
1,100,0.11918551474809647,1,0.28,0.5357142857142857,3,0,1
1,110,0.15667596459388733,1,0.13,0.18181818181818182,2,0,1
1,120,0.1515437513589859,1,-0.1,0.8421052631578947,2,0,1
1,130,0.1463620662689209,1,0.05,0.6190476190476191,2,0,0
1,140,0.1479821503162384,1,0.08,0.045454545454545456,5,0,0
1,150,0.11361110210418701,1,-0.1,0.45454545454545453,6,0,1
1,160,0.12695425748825073,1,-0.03,0.42105263157894735,2,0,0
1,170,0.13905224204063416,1,0.02,0.5625,2,0,1
1,180,0.15210065245628357,1,0.07,0.4375,1,0,0
1,190,0.17774060368537903,0,-0.19,2.0,4,0,1
1,200,0.18610194325447083,0,-0.19,1.8823529411764706,4,0,1
1,210,0.18855929374694824,0,-0.01,0.2777777777777778,2,0,1
1,220,0.21069830656051636,0,0.09,0.0,0,0,1
1,230,0.13973528146743774,1,-0.14,1.2222222222222223,4,0,0
1,240,0.15593913197517395,1,0.1,0.19047619047619047,2,0,0
1,250,0.16830527782440186,1,0.18,2.739130434782609,7,0,0
1,260,0.18341471254825592,1,0.05,0.3333333333333333,2,0,0
1,270,0.1800222396850586,1,-0.1,0.8571428571428571,3,0,0
1,280,0.204293891787529,0,0.01,0.05555555555555555,1,0,0
1,290,0.24613845348358154,0,0.13,0.15789473684210525,2,0,1
1,300,0.19061818718910217,1,-0.1,0.5454545454545454,2,0,0
1,310,0.22694772481918335,0,-0.1,0.5454545454545454,2,0,1
1,320,0.2441614270210266,0,0.11,0.0,4,0,1
1,330,0.20712494850158691,0,0.17,0.0,4,0,0
1,340,0.22567953169345856,0,-0.32,1.8636363636363635,7,0,0
1,350,0.22270864248275757,0,0.05,0.125,2,0,1
1,360,0.18016454577445984,1,0.64,0.47619047619047616,2,0,0
1,370,0.2071744203567505,0,-0.15,1.0526315789473684,3,0,1
1,380,0.20220547914505005,0,0.28,0.3157894736842105,2,0,0
1,390,0.23153044283390045,1,0.01,0.3157894736842105,2,0,0
1,400,0.25692886114120483,1,-0.01,0.3157894736842105,2,0,0
1,410,0.20080819725990295,1,-0.15,1.1666666666666667,4,0,0
1,420,0.17490197718143463,1,-0.06,0.47619047619047616,3,0,1
1,430,0.25599604845046997,0,0.04,0.10526315789473684,1,0,1
1,440,0.2754678726196289,0,0.03,0.0,0,0,0
1,450,0.2061084508895874,0,-0.24,2.1153846153846154,6,0,1
1,460,0.23351091146469116,0,0.06,0.0,0,0,0
1,470,0.22727563977241516,1,0.03,0.1,2,0,0
1,480,0.16521278023719788,1,0.2,0.0,0,0,0
1,490,0.16498421132564545,1,-0.01,0.5263157894736842,2,0,1
1,500,0.2101520448923111,1,0.03,0.047619047619047616,5,0,1
1,510,0.13870297372341156,1,0.03,0.47619047619047616,6,0,1
1,520,0.21612444519996643,1,0.09,0.0,0,0,1
1,530,0.33672642707824707,0,0.16,0.4444444444444444,2,0,0
1,540,0.18548782169818878,1,-0.08,0.4444444444444444,2,0,1
1,550,0.16457194089889526,0,0.3,0.4,2,0,0
1,560,0.1845136284828186,1,0.31,0.2,2,0,0
1,570,0.23275983333587646,0,0.08,0.0,0,0,0
1,580,0.19305819272994995,1,0.05,0.2222222222222222,1,0,1
1,590,0.1917792558670044,0,-0.03,0.1875,2,0,0
1,600,0.15647298097610474,1,0.11,0.1111111111111111,1,0,1
1,610,0.13633427023887634,1,0.06,0.0,0,0,1
1,620,0.2094070166349411,0,0.01,0.047619047619047616,1,0,0
1,630,0.29620131850242615,0,0.02,0.42857142857142855,3,0,0
1,640,0.14959535002708435,0,0.0,0.10526315789473684,1,0,1
1,650,0.21222080290317535,1,-0.1,0.6842105263157895,2,0,0
1,660,0.2591068148612976,1,-0.21,2.1904761904761907,5,0,0
1,670,0.18924376368522644,0,-0.03,0.631578947368421,2,0,0
1,680,0.1679663509130478,0,0.02,0.0,4,0,1
1,690,0.255849152803421,0,0.09,0.0,4,0,0
1,700,0.17608025670051575,1,0.03,0.0,0,0,1
1,710,0.18431313335895538,1,-0.1,0.7222222222222222,2,0,0
1,720,0.1847243756055832,0,0.0,0.25,2,0,0
2,730,0.23223641514778137,0,0.07,0.0,0,0,0
2,740,0.16370156407356262,1,-0.04,0.2222222222222222,2,0,0
2,750,0.16759517788887024,0,0.0,0.2222222222222222,2,0,1
2,760,0.25239747762680054,1,0.01,0.05,1,0,1
2,770,0.25976821780204773,1,0.12,0.0,0,0,1
2,780,0.1762697994709015,0,0.03,0.23529411764705882,2,0,1
2,790,0.14072777330875397,1,0.02,0.22727272727272727,3,0,1
2,800,0.18183019757270813,0,0.04,0.0,0,0,1
2,810,0.19251900911331177,1,0.01,0.1111111111111111,2,0,0
2,820,0.1881570965051651,1,0.03,0.05263157894736842,1,0,1
2,830,0.1882399022579193,1,0.04,0.0,0,0,0
2,840,0.23469561338424683,0,-0.13,1.0476190476190477,5,0,1
2,850,0.18104775249958038,0,0.03,0.0,0,0,0
2,860,0.219951331615448,0,-0.14,0.7391304347826086,7,0,0
2,870,0.11759740114212036,1,0.03,0.3157894736842105,5,0,0
2,880,0.1765729784965515,0,-0.09,0.6666666666666666,2,0,0
2,890,0.18459787964820862,0,0.02,0.0,0,0,0
2,900,0.19856113195419312,1,-0.13,1.1176470588235294,3,0,0
2,910,0.1617828756570816,0,-0.08,0.5,2,0,1
2,920,0.19119638204574585,0,0.1,0.0,0,0,0
2,930,0.17754119634628296,0,0.0,0.3888888888888889,2,0,1
2,940,0.17915719747543335,0,0.09,0.0,0,0,1
2,950,0.17273399233818054,0,0.03,0.1875,2,0,0
2,960,0.20480561256408691,0,-0.17,1.5,4,0,1
2,970,0.2054336965084076,0,-0.13,1.1,4,0,1
2,980,0.20232731103897095,0,-0.15,0.95,4,0,1
2,990,0.13497859239578247,0,0.06,0.0,0,0,0
2,1000,0.16879306733608246,1,0.01,0.0,0,0,0
2,1010,0.12452013045549393,0,0.01,0.05,1,0,1
2,1020,0.13387340307235718,0,0.02,0.0,0,0,0
2,1030,0.1732957810163498,1,-0.01,0.05,1,0,0
2,1040,0.12490948289632797,0,0.02,0.0,4,0,1
2,1050,0.10787167400121689,0,-0.02,0.09090909090909091,5,0,1
2,1060,0.18948772549629211,0,-0.2,2.0555555555555554,4,0,1
2,1070,0.18647056818008423,0,0.06,0.0,0,0,0
2,1080,0.12729096412658691,1,0.04,0.0,0,0,1
2,1090,0.28133073449134827,0,0.0,0.3333333333333333,2,0,0
2,1100,0.11242116242647171,1,0.02,0.1,1,0,1
2,1110,0.1662207543849945,0,-0.05,0.2777777777777778,2,0,1
2,1120,0.1628311425447464,1,0.0,0.23529411764705882,1,0,1
2,1130,0.12134476006031036,1,0.06,0.0,0,0,1
2,1140,0.1876448094844818,0,0.07,0.0,0,0,0
2,1150,0.18480250239372253,1,0.04,0.0,0,0,1
