episode,step,value_estimate,optimum_action,reward,avg_waiting_time,total_stopped,co2_emissions,actual_action
1,10,0.0017492585,0,[0.09],0.0,0,0,[0]
1,20,0.005626224,0,[0.05],0.35,2,0,[0]
1,30,0.004418649,1,[-0.07],0.85,3,0,[0]
1,40,0.024163812,0,[-0.16],1.5555555555555556,4,0,[0]
1,50,0.0017492585,0,[0.09],0.0,0,0,[0]
1,60,0.022234783,0,[0.25],0.1,2,0,[0]
1,70,0.025882836,1,[0.06],0.1111111111111111,1,0,[1]
1,80,0.005474452,0,[0.26],6.571428571428571,12,0,[0]
1,90,0.039052323,0,[0.87],0.8666666666666667,5,0,[0]
1,100,0.00928133,0,[0.1],0.7307692307692307,6,0,[0]
1,110,0.026740462,0,[0.42],0.45454545454545453,2,0,[1]
1,120,0.056062486,0,[-0.11],0.7142857142857143,3,0,[1]
1,130,0.0985258,0,[-0.09],0.4166666666666667,2,0,[0]
1,140,0.11569701,0,[0.1],0.0,4,0,[0]
1,150,0.11494206,0,[0.04],0.5217391304347826,6,0,[0]
1,160,0.091564015,0,[0.],0.3157894736842105,2,0,[0]
1,170,0.06317932,0,[-0.09],0.5,2,0,[1]
1,180,0.08684109,0,[0.05],0.0,0,0,[0]
1,190,0.064435296,0,[0.11],0.045454545454545456,1,0,[1]
1,200,0.13648878,1,[-0.18],1.7058823529411764,4,0,[0]
1,210,0.14822887,1,[0.],0.3684210526315789,2,0,[0]
1,220,0.20573792,0,[0.27],5.375,8,0,[0]
1,230,0.1054434,0,[0.14],1.4285714285714286,5,0,[1]
1,240,0.06310588,0,[0.02],0.10526315789473684,1,0,[1]
1,250,0.08011167,0,[-0.12],1.05,4,0,[1]
1,260,0.0743247,1,[0.01],0.15789473684210525,2,0,[0]
1,270,0.0645753,0,[-0.14],1.0,4,0,[1]
1,280,0.18271486,0,[0.15],0.15,2,0,[0]
1,290,0.13753395,1,[-0.37],2.72,8,0,[0]
1,300,0.15072337,1,[-0.5],4.5,11,0,[0]
1,310,0.09048314,0,[-0.06],0.25,3,0,[1]
1,320,0.09893816,1,[-0.2],1.48,8,0,[0]
1,330,0.10669233,1,[-0.29],3.7,10,0,[0]
1,340,0.043096382,0,[0.1],0.0,0,0,[1]
1,350,0.036438577,0,[-0.09],0.625,2,0,[0]
1,360,0.14574172,0,[-0.4],6.473684210526316,8,0,[1]
1,370,0.07686605,0,[-0.03],0.8095238095238095,3,0,[0]
1,380,0.10138996,0,[0.08],0.0,0,0,[1]
1,390,0.108752236,0,[-0.14],1.1904761904761905,4,0,[1]
1,400,0.14532554,1,[-0.03],0.1875,2,0,[1]
1,410,0.14192003,1,[0.4],0.9230769230769231,4,0,[0]
1,420,0.11204825,1,[0.26],0.1,2,0,[1]
1,430,0.10030657,1,[0.15],0.15,2,0,[1]
1,440,0.064962365,1,[0.07],0.1111111111111111,1,0,[1]
1,450,0.00095744804,0,[0.02],0.15,2,0,[1]
1,460,0.16215414,0,[-0.38],6.0476190476190474,9,0,[1]
1,470,0.1029932,0,[-0.16],1.2380952380952381,4,0,[1]
1,480,0.19807175,1,[0.11],0.0,0,0,[0]
1,490,0.1130947,0,[-0.15],1.1363636363636365,3,0,[1]
1,500,0.10142149,0,[-0.1],0.6190476190476191,6,0,[1]
1,510,0.07884445,1,[-0.08],0.4,6,0,[1]
1,520,0.17807205,1,[0.14],0.0,0,0,[0]
1,530,0.084397845,0,[-0.3],4.235294117647059,6,0,[1]
1,540,0.16258052,1,[0.04],0.0,0,0,[0]
1,550,0.101312764,0,[-0.23],2.05,5,0,[1]
1,560,0.091568455,1,[0.2],1.5862068965517242,5,0,[0]
