episode,step,value_estimate,optimum_action,reward,avg_waiting_time,total_stopped,co2_emissions,actual_action
1,10,[[-0.87842244]],1,[0.],0.0,0,0,[0]
1,20,[[-0.7062763]],1,[0.],0.0,0,0,[0]
1,30,[[-0.63700014]],1,[0.],0.0,0,0,[0]
1,40,[[-0.5005603]],1,[-0.06],1.2,2,0,[1]
1,50,[[-0.5452708]],1,[0.],0.0,0,0,[1]
1,60,[[-0.5793748]],1,[-0.1],2.6,2,0,[1]
1,70,[[-0.66316587]],1,[-0.05],1.0,1,0,[0]
1,80,[[-0.88920796]],1,[0.],0.0,0,0,[1]
1,90,[[-0.904072]],1,[-0.01],0.2,1,0,[1]
1,100,[[-0.84740514]],1,[-0.05],3.2,1,0,[0]
1,110,[[-0.62441945]],1,[0.],0.0,0,0,[0]
1,120,[[-0.74517924]],1,[0.03],0.0,0,0,[0]
1,130,[[-0.8961328]],0,[0.],0.0,0,0,[0]
1,140,[[-0.6753388]],0,[0.],0.0,0,0,[0]
1,150,[[-0.92113614]],0,[-0.02],0.2857142857142857,1,0,[1]
1,160,[[-0.72720623]],0,[-0.07],1.4,2,0,[0]
1,170,[[-0.6886561]],0,[0.],0.0,0,0,[1]
1,180,[[-0.5775702]],0,[0.],0.0,0,0,[0]
1,190,[[-0.57493967]],0,[0.],0.0,0,0,[1]
1,200,[[-0.501919]],0,[0.05],0.0,0,0,[1]
1,210,[[-0.6789697]],0,[0.16],0.32142857142857145,2,0,[0]
1,220,[[-0.57765186]],0,[0.22],1.105263157894737,12,0,[0]
1,230,[[-0.5249127]],0,[0.53],0.4,5,0,[1]
1,240,[[-0.5347576]],0,[0.81],0.45,4,0,[1]
1,250,[[0.00614583]],1,[0.27],0.2926829268292683,6,0,[0]
1,260,[[-0.12424566]],1,[-0.37],0.825,9,0,[1]
1,270,[[-0.2983218]],1,[0.4],0.4838709677419355,6,0,[1]
1,280,[[-2.4175271e-05]],1,[-0.06],1.0263157894736843,9,0,[1]
1,290,[[-0.6140963]],1,[-0.32],0.8108108108108109,8,0,[0]
1,300,[[-0.5715863]],1,[0.],0.02702702702702703,1,0,[0]
