episode,step,value_estimate,optimum_action,reward,avg_waiting_time,total_stopped,co2_emissions,actual_action
1,10,[[0.70398337]],1,[0.1],0.0,0,0,[0]
1,20,[[0.06166989]],1,[0.09],0.08333333333333333,2,0,[1]
1,30,[[0.12800932]],0,[-0.17],1.3,4,0,[1]
1,40,[[0.224628]],0,[-0.17],1.0526315789473684,4,0,[0]
1,50,[[0.30039558]],0,[-0.03],0.3333333333333333,2,0,[1]
1,60,[[0.29178712]],1,[-0.15],1.1,4,0,[0]
1,70,[[0.29513937]],1,[-0.12],1.05,4,0,[0]
1,80,[[0.1350644]],0,[0.11],0.05263157894736842,1,0,[1]
1,90,[[0.04581334]],1,[0.06],0.1,1,0,[0]
1,100,[[0.07847619]],1,[-0.05],0.5,2,0,[0]
1,110,[[0.24574918]],0,[-0.24],2.55,6,0,[1]
1,120,[[-0.2597342]],0,[-0.27],1.375,7,0,[0]
1,130,[[-0.14578798]],1,[-0.01],0.5263157894736842,2,0,[1]
1,140,[[-0.08302276]],0,[0.1],0.0,4,0,[1]
1,150,[[-0.25870752]],1,[-0.06],0.23076923076923078,7,0,[0]
1,160,[[0.1054016]],1,[-0.25],1.3333333333333333,7,0,[1]
1,170,[[0.24197489]],1,[-0.1],0.7058823529411765,2,0,[0]
1,180,[[0.31311184]],1,[-0.07],0.4375,2,0,[0]
1,190,[[0.21047643]],0,[0.06],0.0,0,0,[1]
1,200,[[0.1758195]],0,[-0.02],0.2777777777777778,2,0,[0]
1,210,[[0.09606887]],1,[0.29],0.23809523809523808,2,0,[1]
1,220,[[0.24355417]],1,[0.45],0.3684210526315789,2,0,[0]
1,230,[[0.23017144]],0,[0.27],0.15,2,0,[0]
1,240,[[0.4816068]],1,[0.08],0.0,0,0,[0]
1,250,[[0.52192086]],1,[0.04],0.15,2,0,[0]
1,260,[[0.53095734]],1,[-0.02],0.4,3,0,[0]
1,270,[[0.48027372]],0,[0.01],0.1,2,0,[1]
1,280,[[0.37857684]],1,[0.03],0.0,0,0,[0]
1,290,[[0.44093063]],0,[-0.32],4.5,8,0,[1]
1,300,[[0.47434914]],0,[-0.36],3.739130434782609,8,0,[1]
1,310,[[0.35588887]],0,[-0.1],0.65,2,0,[1]
1,320,[[0.3422784]],0,[-0.1],0.5,6,0,[1]
1,330,[[0.3829043]],0,[-0.08],0.4,6,0,[1]
1,340,[[0.31479996]],0,[0.02],0.8125,2,0,[0]
1,350,[[0.22563668]],1,[-0.25],3.1176470588235294,5,0,[0]
1,360,[[0.20548432]],0,[0.07],0.0,0,0,[1]
1,370,[[0.23195414]],1,[0.06],0.0,0,0,[0]
1,380,[[0.23933852]],1,[-0.16],1.3888888888888888,4,0,[0]
1,390,[[0.10848101]],1,[-0.02],0.25,2,0,[1]
1,400,[[0.19218534]],0,[-0.16],1.3181818181818181,4,0,[1]
1,410,[[0.2191321]],0,[0.13],0.0,0,0,[1]
1,420,[[0.21222626]],0,[0.14],0.0,0,0,[1]
1,430,[[0.21211681]],0,[0.09],0.05263157894736842,1,0,[1]
1,440,[[0.27450392]],0,[-0.01],0.15789473684210525,2,0,[0]
1,450,[[0.18284345]],1,[0.03],0.1,1,0,[0]
1,460,[[0.13377057]],0,[0.02],0.0,0,0,[1]
1,470,[[0.15980393]],1,[0.05],0.0,0,0,[0]
1,480,[[0.14025049]],0,[0.06],0.0,0,0,[1]
1,490,[[0.18110947]],1,[0.03],0.0,0,0,[0]
1,500,[[0.32669622]],1,[-0.1],0.6842105263157895,6,0,[1]
1,510,[[0.28805372]],0,[-0.09],0.45,6,0,[1]
1,520,[[0.14753442]],0,[-0.21],1.8888888888888888,5,0,[1]
1,530,[[0.10271489]],1,[0.08],0.0,0,0,[0]
1,540,[[0.0855123]],0,[0.08],0.0,0,0,[1]
1,550,[[0.0923629]],0,[-0.15],1.1111111111111112,3,0,[0]
1,560,[[0.09944569]],1,[-0.06],0.375,2,0,[1]
1,570,[[0.01838689]],0,[0.07],0.0,0,0,[1]
1,580,[[-0.04725012]],1,[0.08],0.0,0,0,[0]
1,590,[[-0.0270499]],0,[0.06],0.05555555555555555,1,0,[1]
1,600,[[-0.03269928]],1,[0.06],0.0,0,0,[0]
1,610,[[0.07253307]],1,[-0.14],1.2222222222222223,4,0,[0]
